"id","invitation_id","sent_by","channel","subject","message","status","error_message","sent_at"
"1","83","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Webinaire cybersécurité","Bonjour Abdelhamid,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Webinaire cybersécurité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:14:43.939544+00"
"2","84","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Webinaire cybersécurité","Bonjour Sami,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Webinaire cybersécurité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:14:43.958643+00"
"3","86","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Webinaire cybersécurité","Bonjour Abdelhamid,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Webinaire cybersécurité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:14:43.96503+00"
"4","87","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Webinaire cybersécurité","Bonjour Foued,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Webinaire cybersécurité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:14:43.973755+00"
"5","88","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Webinaire cybersécurité","Bonjour Zied,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Webinaire cybersécurité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:14:43.981604+00"
"6","89","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Webinaire cybersécurité","Bonjour Ahmed,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Webinaire cybersécurité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:14:43.993107+00"
"7","91","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Webinaire cybersécurité","Bonjour Abdelhamid,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Webinaire cybersécurité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:14:44.002242+00"
"8","94","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Webinaire cybersécurité","Bonjour Mariem,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Webinaire cybersécurité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:14:44.010417+00"
"9","267","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Ahmed,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.280859+00"
"10","268","33730d91-9a14-4721-aec1-1f1aaa89bb40","EMAIL","Rappel d’invitation - Team building créativité","Bonjour Fatma,

Nous vous rappelons que vous avez une invitation en attente pour l’événement « Team building créativité ».

Votre réponse nous aide à mieux organiser la participation et la logistique de l’événement.

Merci de confirmer votre réponse dès que possible depuis la plateforme CapEvents.

Cordialement,
L’équipe CapEvents
","SENT",NULL,"2026-05-05 22:35:09.452397+00"
