id,code,label_fr,display_order,is_active
1,SPORT_ACTIVITE,Sport et activité physique,1,True
2,BIEN_ETRE_EQUILIBRE,Bien-être et équilibre,2,True
3,SANTE_PREVENTION,Santé et prévention,3,True
4,TECHNOLOGIE,Technologie,4,True
5,IA_DATA,IA et data,5,True
6,CYBERSECURITE,Cybersécurité,6,True
7,INNOVATION,Innovation,7,True
8,FORMATION_METIER,Formation métier,8,True
9,LEADERSHIP,Leadership,9,True
10,GESTION_PROJET,Gestion de projet,10,True
11,COMMUNICATION,Communication,11,True
12,NETWORKING,Networking,12,True
13,TEAM_BUILDING,Team building,13,True
14,CULTURE_ENTREPRISE,Culture d'entreprise,14,True
15,RSE,RSE,15,True
16,SOLIDARITE_BENEVOLAT,Solidarité et bénévolat,16,True
17,DIVERSITE_INCLUSION,Diversité et inclusion,17,True
18,CULTURE_LOISIRS,Culture et loisirs,18,True
19,SORTIES_DECOUVERTES,Sorties et découvertes,19,True
20,ENTREPRENEURIAT,Entrepreneuriat,20,True
